iter	Passed	Remaining
0	57	57063
1	57	28748
2	58	19284
3	58	14550
4	58	11695
5	59	9796
6	59	8428
7	59	7403
8	60	6606
9	60	5970
10	60	5465
11	61	5029
12	61	4676
13	62	4374
14	62	4096
15	62	3863
16	63	3658
17	63	3476
18	64	3309
19	64	3155
20	65	3033
21	65	2905
22	65	2796
23	66	2694
24	66	2596
25	66	2508
26	67	2424
27	67	2347
28	67	2274
29	68	2205
30	68	2142
31	68	2086
32	69	2032
33	69	1979
34	69	1928
35	70	1883
36	70	1841
37	71	1799
38	71	1760
39	71	1725
40	72	1689
41	72	1655
42	73	1624
43	73	1595
44	73	1565
45	74	1538
46	74	1511
47	74	1487
48	75	1461
49	75	1435
50	75	1412
51	76	1391
52	76	1368
53	76	1347
54	77	1325
55	77	1305
56	77	1288
57	78	1269
58	78	1252
59	78	1234
60	79	1218
61	79	1203
62	79	1188
63	80	1173
64	80	1158
65	80	1144
66	81	1131
67	81	1117
68	81	1104
69	82	1090
70	82	1078
71	82	1065
72	83	1053
73	83	1042
74	83	1031
75	83	1020
76	84	1011
77	84	1000
78	84	990
79	85	981
80	85	972
81	86	964
82	86	955
83	86	946
84	87	936
85	87	928
86	87	921
87	88	913
88	88	904
89	88	898
90	90	900
91	90	892
92	90	886
93	91	881
94	91	874
95	92	869
96	92	863
97	93	858
98	93	852
99	94	847
100	94	842
101	95	836
102	95	830
103	95	825
104	96	819
105	96	814
106	96	809
107	97	804
108	97	798
109	98	794
110	98	790
111	99	786
112	99	781
113	99	776
114	100	771
115	100	766
116	100	761
117	101	757
118	101	754
119	102	749
120	102	745
121	102	741
122	103	737
123	103	732
124	104	728
125	104	724
126	104	720
127	105	718
128	105	715
129	106	710
130	106	708
131	107	704
132	107	700
133	108	700
134	109	700
135	109	696
136	110	693
137	110	690
138	111	689
139	111	686
140	112	683
141	112	679
142	112	675
143	112	670
144	113	667
145	113	664
146	114	661
147	114	659
148	114	655
149	115	651
150	115	649
151	115	645
152	116	642
153	116	639
154	116	636
155	117	634
156	117	631
157	117	628
158	118	625
159	118	623
160	119	620
161	119	617
162	119	614
163	119	611
164	120	608
165	120	605
166	120	602
167	121	600
168	121	597
169	122	596
170	122	594
171	123	592
172	123	589
173	123	587
174	124	584
175	124	582
176	124	579
177	125	577
178	125	574
179	125	572
180	125	569
181	126	567
182	126	565
183	126	562
184	127	560
185	127	557
186	127	555
187	128	553
188	128	550
189	128	548
190	128	546
191	129	543
192	129	541
193	129	539
194	130	537
195	130	534
196	130	532
197	130	530
198	131	528
199	131	526
200	131	523
201	132	521
202	132	519
203	132	517
204	132	515
205	133	513
206	133	511
207	133	509
208	133	507
209	134	505
210	134	503
211	135	502
212	135	500
213	136	499
214	136	497
215	136	496
216	137	494
217	137	494
218	138	492
219	138	490
220	138	489
221	139	487
222	139	485
223	139	483
224	139	482
225	140	480
226	140	478
227	140	476
228	141	475
229	141	473
230	141	471
231	141	469
232	142	468
233	142	466
234	142	464
235	143	463
236	143	461
237	143	459
238	143	458
239	144	456
240	144	454
241	144	453
242	145	451
243	145	450
244	145	448
245	145	446
246	146	445
247	146	443
248	146	442
249	146	440
250	147	439
251	147	437
252	147	436
253	147	434
254	148	433
255	148	431
256	148	430
257	149	428
258	149	427
259	149	426
260	149	424
261	150	423
262	150	421
263	150	420
264	151	418
265	151	417
266	152	417
267	152	417
268	152	415
269	153	414
270	153	413
271	154	412
272	154	411
273	154	409
274	154	408
275	155	407
276	155	406
277	155	405
278	156	403
279	156	402
280	156	401
281	157	399
282	157	398
283	157	397
284	157	396
285	158	395
286	158	393
287	158	392
288	159	391
289	159	390
290	159	389
291	160	388
292	160	387
293	160	385
294	161	384
295	161	383
296	161	382
297	161	381
298	162	380
299	162	379
300	162	378
301	163	376
302	163	375
303	163	374
304	163	373
305	164	372
306	164	371
307	164	370
308	165	369
309	165	368
310	165	367
311	166	366
312	166	365
313	166	364
314	166	362
315	167	361
